CustomerID,Customer,Recency,Frequency,Monetary,RecencyBin,FrequencyBin,MonetaryBin,RFM,Segment
12930,1,78,2,415,2,2,2,222,Hibernating
12931,1,21,15,42055,4,5,5,455,Champions
12933,1,24,3,607,4,3,3,433,Potential Loyalist
12935,1,2,7,2160,5,5,5,555,Champions
12936,1,17,4,1063,4,4,4,444,Loyal Customers
12937,1,15,4,1504,4,4,4,444,Loyal Customers
12938,1,25,1,114,4,1,1,411,New Customer
12939,1,64,8,11581,3,5,5,355,Loyal Customers
12940,1,54,2,913,3,2,4,324,Need Attention
12942,1,131,3,683,2,3,3,233,Hibernating
12944,1,35,2,604,3,2,3,323,Potential Loyalist
12945,1,288,1,462,1,1,3,113,Cannot Lose
12947,1,143,5,1299,2,4,4,244,At Risk
12948,1,16,7,2064,4,5,5,455,Champions
12949,1,30,8,4167,4,5,5,455,Champions
12950,1,2,3,1843,5,3,4,534,Need Attention
12951,1,8,6,1064,5,5,4,554,Champions
12952,1,5,4,1387,5,4,4,544,Champions
12953,1,9,1,329,5,1,2,512,New Customer
12955,1,1,11,4757,5,5,5,555,Champions
12956,1,306,1,108,1,1,1,111,Lost
12957,1,9,8,4017,5,5,5,555,Champions
12962,1,7,2,266,5,2,2,522,Promising
12963,1,8,8,1856,5,5,4,554,Champions
12965,1,89,1,771,2,1,3,213,About To Sleep
12966,1,9,1,160,5,1,1,511,New Customer
12967,1,358,1,292,1,1,2,112,Lost
12968,1,112,1,135,2,1,1,211,Hibernating
12970,1,7,4,452,5,4,2,542,Potential Loyalist
12971,1,3,83,10921,5,5,5,555,Champions
12974,1,197,1,144,1,1,1,111,Lost
12976,1,211,1,738,1,1,3,113,Cannot Lose
12977,1,156,1,39,2,1,1,211,Hibernating
12980,1,157,9,7374,2,5,5,255,At Risk
12981,1,29,2,372,4,2,2,422,New Customer
12982,1,242,1,390,1,1,2,112,Lost
12984,1,18,1,97,4,1,1,411,New Customer
12985,1,0,2,1239,5,2,4,524,Promising
12987,1,73,2,558,2,2,3,223,Hibernating
12988,1,292,1,535,1,1,3,113,Cannot Lose
12989,1,3,15,6924,5,5,5,555,Champions
12990,1,31,3,409,4,3,2,432,Potential Loyalist
12991,1,23,2,503,4,2,3,423,Potential Loyalist
12993,1,23,4,414,4,4,2,442,Potential Loyalist
12994,1,4,3,974,5,3,4,534,Need Attention
12995,1,85,1,211,2,1,1,211,Hibernating
12997,1,22,4,1226,4,4,4,444,Loyal Customers
12999,1,196,3,455,1,3,2,132,Hibernating
13000,1,106,3,534,2,3,3,233,Hibernating
13001,1,4,13,9818,5,5,5,555,Champions
13002,1,318,1,120,1,1,1,111,Lost
13003,1,105,3,149,2,3,1,231,About To Sleep
13004,1,11,18,5655,5,5,5,555,Champions
13005,1,173,2,513,1,2,3,123,Hibernating
13006,1,56,1,81,3,1,1,311,New Customer
13008,1,323,1,229,1,1,1,111,Lost
13012,1,9,8,1661,5,5,4,554,Champions
13013,1,1,11,3282,5,5,5,555,Champions
13014,1,10,10,3466,5,5,5,555,Champions
13015,1,53,5,3346,3,4,5,345,Loyal Customers
13016,1,73,3,789,2,3,3,233,Hibernating
13017,1,7,1,204,5,1,1,511,New Customer
13018,1,16,28,7277,4,5,5,455,Champions
13021,1,4,9,2616,5,5,5,555,Champions
13023,1,64,2,689,3,2,3,323,Potential Loyalist
13026,1,1,5,975,5,4,4,544,Champions
13027,1,113,6,6912,2,5,5,255,At Risk
13028,1,22,2,661,4,2,3,423,Potential Loyalist
13029,1,30,3,1247,4,3,4,434,Need Attention
13030,1,11,1,371,5,1,2,512,New Customer
13032,1,52,2,1010,3,2,4,324,Need Attention
13033,1,357,1,190,1,1,1,111,Lost
13034,1,54,1,476,3,1,3,313,Promising
13035,1,73,2,921,2,2,4,224,At Risk
13037,1,138,3,881,2,3,3,233,Hibernating
13038,1,80,3,908,2,3,4,234,At Risk
13040,1,8,2,676,5,2,3,523,Promising
13043,1,273,1,516,1,1,3,113,Cannot Lose
13044,1,291,1,560,1,1,3,113,Cannot Lose
13045,1,99,1,305,2,1,2,212,Hibernating
13046,1,30,2,629,4,2,3,423,Potential Loyalist
13047,1,31,7,2870,4,5,5,455,Champions
13048,1,14,4,1835,4,4,4,444,Loyal Customers
13049,1,64,2,656,3,2,3,323,Potential Loyalist
13050,1,14,16,5508,4,5,5,455,Champions
13052,1,212,1,348,1,1,2,112,Lost
13055,1,78,3,1214,2,3,4,234,At Risk
13058,1,24,3,271,4,3,2,432,Potential Loyalist
13059,1,249,1,183,1,1,1,111,Lost
13060,1,253,1,307,1,1,2,112,Lost
13061,1,72,1,248,2,1,2,212,Hibernating
13062,1,191,1,346,1,1,2,112,Lost
13064,1,12,4,1119,5,4,4,544,Champions
13066,1,24,2,470,4,2,3,423,Potential Loyalist
13067,1,82,1,115,2,1,1,211,Hibernating
13068,1,10,2,344,5,2,2,522,Promising
13069,1,0,22,4103,5,5,5,555,Champions
13070,1,192,1,228,1,1,1,111,Lost
13072,1,266,1,177,1,1,1,111,Lost
13075,1,129,1,919,2,1,4,214,Cannot Lose
13077,1,1,3,415,5,3,2,532,Potential Loyalist
13078,1,3,25,12113,5,5,5,555,Champions
13079,1,4,5,220,5,4,1,541,Potential Loyalist
13080,1,179,1,58,1,1,1,111,Lost
13081,1,11,9,25970,5,5,5,555,Champions
13082,1,126,9,3613,2,5,5,255,At Risk
13083,1,4,2,303,5,2,2,522,Promising
13085,1,157,2,416,2,2,2,222,Hibernating
13089,1,2,94,55595,5,5,5,555,Champions
13090,1,8,13,8750,5,5,5,555,Champions
13091,1,28,1,345,4,1,2,412,New Customer
13092,1,70,5,477,2,4,3,243,At Risk
13093,1,275,7,7033,1,5,5,155,Cannot Lose
13094,1,21,11,1703,4,5,4,454,Champions
13095,1,70,1,74,2,1,1,211,Hibernating
13097,1,32,10,6010,3,5,5,355,Loyal Customers
13098,1,1,28,28882,5,5,5,555,Champions
13099,1,99,1,207,2,1,1,211,Hibernating
13101,1,234,1,101,1,1,1,111,Lost
13102,1,1,24,6424,5,5,5,555,Champions
13103,1,39,1,243,3,1,2,312,About To Sleep
13104,1,3,6,1098,5,5,4,554,Champions
13106,1,133,1,76,2,1,1,211,Hibernating
13107,1,44,4,1531,3,4,4,344,Loyal Customers
13109,1,59,2,786,3,2,3,323,Potential Loyalist
13110,1,31,7,1488,4,5,4,454,Champions
13113,1,0,23,11872,5,5,5,555,Champions
13115,1,11,4,2294,5,4,5,545,Champions
13116,1,138,1,501,2,1,3,213,About To Sleep
13117,1,21,7,782,4,5,3,453,Potential Loyalist
13118,1,19,5,1197,4,4,4,444,Loyal Customers
13120,1,238,1,30,1,1,1,111,Lost
13121,1,269,1,283,1,1,2,112,Lost
13122,1,94,2,922,2,2,4,224,At Risk
13124,1,89,3,3866,2,3,5,235,At Risk
13126,1,4,6,1876,5,5,4,554,Champions
13127,1,77,1,259,2,1,2,212,Hibernating
13130,1,94,1,64,2,1,1,211,Hibernating
13131,1,23,3,1073,4,3,4,434,Need Attention
13132,1,261,1,77,1,1,1,111,Lost
13133,1,273,2,109,1,2,1,121,Lost
13134,1,85,4,1793,2,4,4,244,At Risk
13135,1,196,1,3096,1,1,5,115,Cannot Lose
13136,1,56,5,2607,3,4,5,345,Loyal Customers
13137,1,10,8,3650,5,5,5,555,Champions
13138,1,22,5,769,4,4,3,443,Need Attention
13139,1,16,7,5064,4,5,5,455,Champions
13140,1,108,2,264,2,2,2,222,Hibernating
13141,1,84,5,2388,2,4,5,245,At Risk
13142,1,19,1,307,4,1,2,412,New Customer
13144,1,332,1,110,1,1,1,111,Lost
13145,1,39,3,323,3,3,2,332,Hibernating
13146,1,26,1,228,4,1,1,411,New Customer
13147,1,10,4,712,5,4,3,543,Loyal Customers
13148,1,29,12,3707,4,5,5,455,Champions
13149,1,14,4,1676,4,4,4,444,Loyal Customers
13151,1,295,1,1257,1,1,4,114,Cannot Lose
13153,1,5,1,486,5,1,3,513,Promising
13155,1,33,3,592,3,3,3,333,Potential Loyalist
13157,1,49,4,1741,3,4,4,344,Loyal Customers
13158,1,94,4,1201,2,4,4,244,At Risk
13159,1,8,4,1437,5,4,4,544,Champions
13160,1,22,1,91,4,1,1,411,New Customer
13161,1,313,1,112,1,1,1,111,Lost
13162,1,122,4,1688,2,4,4,244,At Risk
13165,1,46,2,1021,3,2,4,324,Need Attention
13166,1,283,1,417,1,1,2,112,Lost
13167,1,18,4,791,4,4,3,443,Need Attention
13168,1,36,4,1319,3,4,4,344,Loyal Customers
13169,1,63,2,712,3,2,3,323,Potential Loyalist
13170,1,26,1,116,4,1,1,411,New Customer
13171,1,21,3,468,4,3,3,433,Potential Loyalist
13173,1,4,1,187,5,1,1,511,New Customer
13174,1,16,2,1401,4,2,4,424,Promising
13176,1,46,1,492,3,1,3,313,Promising
13177,1,64,1,282,3,1,2,312,About To Sleep
13178,1,26,11,5725,4,5,5,455,Champions
13182,1,45,1,121,3,1,1,311,New Customer
13183,1,7,9,3957,5,5,5,555,Champions
13184,1,14,10,1701,4,5,4,454,Champions
13185,1,267,1,71,1,1,1,111,Lost
13186,1,39,3,1575,3,3,4,334,Need Attention
13187,1,337,1,236,1,1,1,111,Lost
13188,1,11,1,114,5,1,1,511,New Customer
13189,1,18,2,260,4,2,2,422,New Customer
13192,1,95,2,911,2,2,4,224,At Risk
13193,1,61,1,117,3,1,1,311,New Customer
13194,1,135,1,60,2,1,1,211,Hibernating
13196,1,11,4,1797,5,4,4,544,Champions
13198,1,10,6,3401,5,5,5,555,Champions
13199,1,3,37,9348,5,5,5,555,Champions
13200,1,19,4,870,4,4,3,443,Need Attention
13203,1,9,4,869,5,4,3,543,Loyal Customers
13207,1,15,2,250,4,2,2,422,New Customer
13208,1,58,6,1223,3,5,4,354,Loyal Customers
13209,1,30,8,5891,4,5,5,455,Champions
13210,1,93,1,353,2,1,2,212,Hibernating
13211,1,10,3,1197,5,3,4,534,Need Attention
13212,1,19,3,788,4,3,3,433,Potential Loyalist
13213,1,56,5,1520,3,4,4,344,Loyal Customers
13216,1,267,1,333,1,1,2,112,Lost
13217,1,122,3,533,2,3,3,233,Hibernating
13218,1,127,1,62,2,1,1,211,Hibernating
13220,1,78,4,819,2,4,3,243,At Risk
13221,1,240,2,847,1,2,3,123,Hibernating
13223,1,200,2,163,1,2,1,121,Lost
13224,1,60,2,2155,3,2,5,325,Need Attention
13225,1,3,7,6463,5,5,5,555,Champions
13226,1,273,1,108,1,1,1,111,Lost
13227,1,201,1,257,1,1,2,112,Lost
13228,1,81,1,358,2,1,2,212,Hibernating
13229,1,225,1,160,1,1,1,111,Lost
13230,1,4,14,2806,5,5,5,555,Champions
13232,1,12,7,1357,5,5,4,554,Champions
13233,1,74,2,605,2,2,3,223,Hibernating
13235,1,212,1,1031,1,1,4,114,Cannot Lose
13236,1,24,2,744,4,2,3,423,Potential Loyalist
13238,1,17,4,700,4,4,3,443,Need Attention
13239,1,261,1,329,1,1,2,112,Lost
13240,1,96,4,663,2,4,3,243,At Risk
13242,1,112,3,270,2,3,2,232,Hibernating
13243,1,203,1,600,1,1,3,113,Cannot Lose
13244,1,92,1,121,2,1,1,211,Hibernating
13245,1,50,1,430,3,1,2,312,About To Sleep
13246,1,18,6,1987,4,5,5,455,Champions
13247,1,17,4,501,4,4,3,443,Need Attention
13248,1,124,2,465,2,2,3,223,Hibernating
13249,1,92,3,711,2,3,3,233,Hibernating
13253,1,156,2,1030,2,2,4,224,At Risk
13255,1,9,1,173,5,1,1,511,New Customer
13256,1,14,1,0,4,1,1,411,New Customer
13258,1,11,3,698,5,3,3,533,Potential Loyalist
13259,1,61,1,292,3,1,2,312,About To Sleep
13260,1,61,1,557,3,1,3,313,Promising
13261,1,268,2,944,1,2,4,124,At Risk
13262,1,263,1,200,1,1,1,111,Lost
13263,1,1,35,7454,5,5,5,555,Champions
13265,1,53,5,2107,3,4,5,345,Loyal Customers
13266,1,11,12,3834,5,5,5,555,Champions
13267,1,2,18,4193,5,5,5,555,Champions
13268,1,17,11,3214,4,5,5,455,Champions
13269,1,1,14,4994,5,5,5,555,Champions
13271,1,37,1,217,3,1,1,311,New Customer
13272,1,31,2,276,4,2,2,422,New Customer
13273,1,113,1,138,2,1,1,211,Hibernating
13276,1,63,2,590,3,2,3,323,Potential Loyalist
13277,1,15,4,258,4,4,2,442,Potential Loyalist
13278,1,40,1,542,3,1,3,313,Promising
13279,1,78,1,137,2,1,1,211,Hibernating
13280,1,122,3,814,2,3,3,233,Hibernating
13282,1,18,3,1132,4,3,4,434,Need Attention
13283,1,59,2,93,3,2,1,321,About To Sleep
13284,1,330,1,201,1,1,1,111,Lost
13285,1,23,4,2709,4,4,5,445,Champions
13291,1,155,1,361,2,1,2,212,Hibernating
13292,1,38,2,578,3,2,3,323,Potential Loyalist
13294,1,189,2,873,1,2,3,123,Hibernating
13295,1,359,1,201,1,1,1,111,Lost
13296,1,137,1,87,2,1,1,211,Hibernating
13297,1,7,4,2089,5,4,5,545,Champions
13298,1,1,1,360,5,1,2,512,New Customer
13299,1,268,1,142,1,1,1,111,Lost
13300,1,169,1,371,2,1,2,212,Hibernating
13301,1,103,4,618,2,4,3,243,At Risk
13302,1,155,1,63,2,1,1,211,Hibernating
13304,1,351,1,300,1,1,2,112,Lost
13305,1,4,9,1864,5,5,4,554,Champions
13307,1,120,1,15,2,1,1,211,Hibernating
13308,1,22,3,1385,4,3,4,434,Need Attention
13309,1,7,5,1456,5,4,4,544,Champions
13310,1,28,3,1132,4,3,4,434,Need Attention
13311,1,4,2,598,5,2,3,523,Promising
13313,1,22,5,1555,4,4,4,444,Loyal Customers
13314,1,1,3,775,5,3,3,533,Potential Loyalist
13316,1,37,4,5977,3,4,5,345,Loyal Customers
13317,1,66,6,2273,3,5,5,355,Loyal Customers
13318,1,1,3,640,5,3,3,533,Potential Loyalist
13319,1,5,26,10845,5,5,5,555,Champions
13320,1,78,4,1548,2,4,4,244,At Risk
13321,1,72,2,567,2,2,3,223,Hibernating
13322,1,17,1,199,4,1,1,411,New Customer
13323,1,3,5,787,5,4,3,543,Loyal Customers
13324,1,36,10,7121,3,5,5,355,Loyal Customers
13325,1,81,1,675,2,1,3,213,About To Sleep
13327,1,38,8,3627,3,5,5,355,Loyal Customers
13328,1,316,1,1308,1,1,4,114,Cannot Lose
13329,1,31,1,484,4,1,3,413,Promising
13330,1,92,3,1140,2,3,4,234,At Risk
13332,1,14,1,350,4,1,2,412,New Customer
13334,1,82,3,3536,2,3,5,235,At Risk
13336,1,77,1,795,2,1,3,213,About To Sleep
13338,1,157,1,487,2,1,3,213,About To Sleep
13339,1,200,1,860,1,1,3,113,Cannot Lose
13340,1,45,7,10736,3,5,5,355,Loyal Customers
13341,1,260,1,775,1,1,3,113,Cannot Lose
13343,1,177,1,353,1,1,2,112,Lost
13344,1,67,3,2543,3,3,5,335,Loyal Customers
13345,1,287,1,389,1,1,2,112,Lost
13347,1,70,1,341,2,1,2,212,Hibernating
13348,1,64,1,233,3,1,1,311,New Customer
13349,1,10,1,247,5,1,2,512,New Customer
13350,1,16,2,979,4,2,4,424,Promising
13351,1,66,1,373,3,1,2,312,About To Sleep
13352,1,60,1,397,3,1,2,312,About To Sleep
13354,1,71,1,743,2,1,3,213,About To Sleep
13355,1,122,1,674,2,1,3,213,About To Sleep
13356,1,80,1,768,2,1,3,213,About To Sleep
13357,1,257,1,609,1,1,3,113,Cannot Lose
13358,1,268,1,439,1,1,2,112,Lost
13359,1,63,1,439,3,1,2,312,About To Sleep
13362,1,9,4,3090,5,4,5,545,Champions
13363,1,17,2,992,4,2,4,424,Promising
13364,1,71,1,134,2,1,1,211,Hibernating
13365,1,33,2,2225,3,2,5,325,Need Attention
13366,1,50,1,56,3,1,1,311,New Customer
13368,1,256,2,623,1,2,3,123,Hibernating
13369,1,365,1,308,1,1,2,112,Lost
13372,1,89,1,378,2,1,2,212,Hibernating
13373,1,60,3,3312,3,3,5,335,Loyal Customers
13375,1,88,1,778,2,1,3,213,About To Sleep
13376,1,99,3,1019,2,3,4,234,At Risk
13379,1,26,3,572,4,3,3,433,Potential Loyalist
13381,1,31,6,3639,4,5,5,455,Champions
13382,1,280,1,222,1,1,1,111,Lost
13384,1,30,7,4151,4,5,5,455,Champions
13385,1,329,1,534,1,1,3,113,Cannot Lose
13388,1,131,2,677,2,2,3,223,Hibernating
13389,1,11,3,797,5,3,3,533,Potential Loyalist
13390,1,74,1,544,2,1,3,213,About To Sleep
13391,1,203,1,59,1,1,1,111,Lost
13394,1,1,8,2520,5,5,5,555,Champions
13395,1,185,1,307,1,1,2,112,Lost
13396,1,29,2,1360,4,2,4,424,Promising
13397,1,72,5,1544,2,4,4,244,At Risk
13398,1,192,1,457,1,1,2,112,Lost
13402,1,127,1,312,2,1,2,212,Hibernating
13403,1,17,1,75,4,1,1,411,New Customer
13404,1,1,2,252,5,2,2,522,Promising
13405,1,74,3,572,2,3,3,233,Hibernating
13408,1,1,60,26558,5,5,5,555,Champions
13410,1,24,5,1003,4,4,4,444,Loyal Customers
13411,1,107,1,213,2,1,1,211,Hibernating
13414,1,133,3,1390,2,3,4,234,At Risk
13416,1,43,2,712,3,2,3,323,Potential Loyalist
13417,1,4,2,640,5,2,3,523,Promising
13418,1,11,16,5504,5,5,5,555,Champions
13419,1,63,1,221,3,1,1,311,New Customer
13420,1,149,2,159,2,2,1,221,About To Sleep
13421,1,40,2,1851,3,2,4,324,Need Attention
13422,1,64,1,2626,3,1,5,315,Promising
13425,1,108,3,1624,2,3,4,234,At Risk
13426,1,0,10,3641,5,5,5,555,Champions
13427,1,19,3,582,4,3,3,433,Potential Loyalist
13428,1,10,1,218,5,1,1,511,New Customer
13429,1,10,4,1006,5,4,4,544,Champions
13430,1,18,2,679,4,2,3,423,Potential Loyalist
13431,1,67,2,1269,3,2,4,324,Need Attention
13434,1,74,2,534,2,2,3,223,Hibernating
13435,1,5,7,3809,5,5,5,555,Champions
13436,1,1,1,196,5,1,1,511,New Customer
13437,1,14,7,3408,4,5,5,455,Champions
13439,1,255,1,283,1,1,2,112,Lost
13441,1,91,1,296,2,1,2,212,Hibernating
13447,1,23,3,1129,4,3,4,434,Need Attention
13448,1,16,4,3095,4,4,5,445,Champions
13449,1,23,1,291,4,1,2,412,New Customer
13450,1,26,6,2043,4,5,5,455,Champions
13451,1,26,5,2976,4,4,5,445,Champions
13452,1,259,2,590,1,2,3,123,Hibernating
13453,1,165,2,356,2,2,2,222,Hibernating
13455,1,24,1,365,4,1,2,412,New Customer
13456,1,17,6,1766,4,5,4,454,Champions
13458,1,7,14,9646,5,5,5,555,Champions
13460,1,29,2,183,4,2,1,421,New Customer
13461,1,38,3,1445,3,3,4,334,Need Attention
13462,1,252,1,151,1,1,1,111,Lost
13464,1,58,1,674,3,1,3,313,Promising
13466,1,184,1,307,1,1,2,112,Lost
13467,1,10,2,1083,5,2,4,524,Promising
13468,1,1,34,5122,5,5,5,555,Champions
13470,1,99,2,165,2,2,1,221,About To Sleep
13471,1,1,4,2531,5,4,5,545,Champions
13473,1,60,2,422,3,2,2,322,Hibernating
13474,1,236,1,229,1,1,1,111,Lost
13475,1,191,4,1431,1,4,4,144,Cannot Lose
13476,1,178,2,1238,1,2,4,124,At Risk
13477,1,37,6,1454,3,5,4,354,Loyal Customers
13479,1,200,2,300,1,2,2,122,Hibernating
13481,1,45,5,1804,3,4,4,344,Loyal Customers
13482,1,232,1,184,1,1,1,111,Lost
13483,1,65,1,140,3,1,1,311,New Customer
13484,1,241,1,313,1,1,2,112,Lost
13485,1,233,1,454,1,1,2,112,Lost
13486,1,78,3,1122,2,3,4,234,At Risk
13487,1,57,3,575,3,3,3,333,Potential Loyalist
13488,1,17,12,7586,4,5,5,455,Champions
13489,1,105,4,449,2,4,2,242,At Risk
13491,1,51,9,1116,3,5,4,354,Loyal Customers
13494,1,311,1,316,1,1,2,112,Lost
13495,1,7,4,1533,5,4,4,544,Champions
13496,1,10,2,653,5,2,3,523,Promising
13497,1,282,1,194,1,1,1,111,Lost
13499,1,17,5,1159,4,4,4,444,Loyal Customers
13500,1,23,3,1166,4,3,4,434,Need Attention
13502,1,16,3,292,4,3,2,432,Potential Loyalist
13503,1,71,1,216,2,1,1,211,Hibernating
13504,1,64,1,295,3,1,2,312,About To Sleep
13506,1,316,1,157,1,1,1,111,Lost
13507,1,3,4,2479,5,4,5,545,Champions
13508,1,243,1,110,1,1,1,111,Lost
13509,1,8,7,979,5,5,4,554,Champions
13510,1,1,4,1791,5,4,4,544,Champions
13512,1,260,1,251,1,1,2,112,Lost
13513,1,126,1,205,2,1,1,211,Hibernating
13514,1,73,1,152,2,1,1,211,Hibernating
13515,1,72,4,891,2,4,4,244,At Risk
13516,1,21,3,1389,4,3,4,434,Need Attention
13517,1,59,3,2128,3,3,5,335,Loyal Customers
13518,1,85,1,659,2,1,3,213,About To Sleep
13519,1,78,1,122,2,1,1,211,Hibernating
13521,1,1,3,1093,5,3,4,534,Need Attention
13522,1,30,1,125,4,1,1,411,New Customer
13523,1,33,4,3397,3,4,5,345,Loyal Customers
13524,1,40,5,680,3,4,3,343,Need Attention
13525,1,14,2,628,4,2,3,423,Potential Loyalist
13527,1,33,7,2287,3,5,5,355,Loyal Customers
13529,1,78,2,307,2,2,2,222,Hibernating
13531,1,205,1,178,1,1,1,111,Lost
13532,1,33,1,210,3,1,1,311,New Customer
13533,1,182,3,270,1,3,2,132,Hibernating
13534,1,2,25,5870,5,5,5,555,Champions
13536,1,1,7,3448,5,5,5,555,Champions
13538,1,43,7,1280,3,5,4,354,Loyal Customers
13539,1,85,3,631,2,3,3,233,Hibernating
13544,1,39,2,291,3,2,2,322,Hibernating
13546,1,12,3,626,5,3,3,533,Potential Loyalist
13548,1,96,2,682,2,2,3,223,Hibernating
13549,1,25,7,918,4,5,4,454,Champions
13551,1,319,1,91,1,1,1,111,Lost
13552,1,66,12,3740,3,5,5,355,Loyal Customers
13555,1,73,4,4149,2,4,5,245,At Risk
13557,1,28,2,584,4,2,3,423,Potential Loyalist
13558,1,5,4,605,5,4,3,543,Loyal Customers
13560,1,7,1,174,5,1,1,511,New Customer
13561,1,215,1,141,1,1,1,111,Lost
13562,1,81,3,1799,2,3,4,234,At Risk
13563,1,84,2,777,2,2,3,223,Hibernating
13564,1,144,2,1209,2,2,4,224,At Risk
13565,1,19,2,240,4,2,2,422,New Customer
13566,1,40,2,874,3,2,3,323,Potential Loyalist
13568,1,173,1,192,1,1,1,111,Lost
13569,1,17,1,255,4,1,2,412,New Customer
13570,1,243,1,239,1,1,2,112,Lost
13571,1,12,12,2092,5,5,5,555,Champions
13572,1,205,1,1384,1,1,4,114,Cannot Lose
13573,1,50,2,294,3,2,2,322,Hibernating
13575,1,23,5,732,4,4,3,443,Need Attention
13576,1,10,17,6368,5,5,5,555,Champions
13577,1,25,4,1687,4,4,4,444,Loyal Customers
13579,1,14,1,302,4,1,2,412,New Customer
13581,1,309,1,118,1,1,1,111,Lost
13583,1,155,1,781,2,1,3,213,About To Sleep
13584,1,306,1,142,1,1,1,111,Lost
13587,1,63,1,712,3,1,3,313,Promising
13588,1,15,9,2478,4,5,5,455,Champions
13589,1,14,2,379,4,2,2,422,New Customer
13590,1,11,6,1981,5,5,5,555,Champions
13591,1,64,3,1117,3,3,4,334,Need Attention
13592,1,35,4,247,3,4,2,342,Potential Loyalist
13593,1,108,5,2037,2,4,5,245,At Risk
13594,1,52,1,396,3,1,2,312,About To Sleep
13596,1,5,2,697,5,2,3,523,Promising
13598,1,47,1,180,3,1,1,311,New Customer
13599,1,1,19,4800,5,5,5,555,Champions
13600,1,312,1,219,1,1,1,111,Lost
13601,1,45,2,693,3,2,3,323,Potential Loyalist
